Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
ABBV,AbbVie Inc.,221.6530,391614.93,United States and Canada,Biotechnology,62819.00
AMGN,Amgen Inc.,347.8610,187743.46,United States and Canada,Biotechnology,37220.00
GILD,Gilead Sciences Inc.,126.3810,156910.84,United States and Canada,Biotechnology,29736.00
VRTX,Vertex Pharmaceuticals Incorporated,451.8890,114691.88,United States and Canada,Biotechnology,12218.00
REGN,Regeneron Pharmaceuticals Inc.,614.1680,62484.86,United States and Canada,Biotechnology,14919.60
ARGX,argenx SE,761.2000,54871.14,Europe,Biotechnology,4742.47
ALNY,Alnylam Pharmaceuticals Inc.,282.0810,37661.36,United States and Canada,Biotechnology,4286.92
RVMD,Revolution Medicines Inc.,157.1100,33401.03,United States and Canada,Biotechnology,
NTRA,Natera Inc.,221.2400,31684.97,United States and Canada,Biotechnology,2500.93
ONC,BeOne Medicines AG,264.3250,29386.07,United States and Canada,Biotechnology,5739.19
BIIB,Biogen Inc.,196.0800,28948.69,United States and Canada,Biotechnology,9937.40
UTHR,United Therapeutics Corporation,551.6750,23416.80,United States and Canada,Biotechnology,3169.80
BNTX,BioNTech SE,90.5370,22895.38,United States and Canada,Biotechnology,3242.26
MRNA,Moderna Inc.,56.1280,22270.82,United States and Canada,Biotechnology,2225.00
ROIV,Roivant Sciences Ltd.,30.2670,21770.16,United States and Canada,Biotechnology,8.26
INSM,Insmed Incorporated,95.7190,20747.33,United States and Canada,Biotechnology,819.56
INCY,Incyte Corporation,100.1120,20000.59,United States and Canada,Biotechnology,5361.02
SOBI,Swedish Orphan Biovitrum AB (publ),435.0000,15996.78,Europe,Biotechnology,3058.34
NBIX,Neurocrine Biosciences Inc.,155.9210,15677.85,United States and Canada,Biotechnology,3102.40
GMAB,Genmab A/S,1594.0000,15167.84,Europe,Biotechnology,3901.00
ASND,Ascendis Pharma A/S,230.8770,14340.14,United States and Canada,Biotechnology,1000.67
EXEL,Exelixis Inc.,52.3310,13153.66,United States and Canada,Biotechnology,2375.49
BBIO,BridgeBio Pharma Inc.,67.0260,13127.80,United States and Canada,Biotechnology,579.96
IONS,Ionis Pharmaceuticals Inc.,73.1900,12095.57,United States and Canada,Biotechnology,1058.19
MDGL,Madrigal Pharmaceuticals Inc.,503.9010,11617.77,United States and Canada,Biotechnology,1132.49
SMMT,Summit Therapeutics Inc.,13.9830,10853.08,United States and Canada,Biotechnology,
ARWR,Arrowhead Pharmaceuticals Inc.,76.8180,10820.35,United States and Canada,Biotechnology,622.01
BMRN,BioMarin Pharmaceutical Inc.,55.4520,10718.01,United States and Canada,Biotechnology,3242.32
CYTK,Cytokinetics Incorporated,76.5170,10388.76,United States and Canada,Biotechnology,105.81
NUVL,Nuvalent Inc.,123.3310,9742.89,United States and Canada,Biotechnology,
KRYS,Krystal Biotech Inc.,324.0000,9551.44,United States and Canada,Biotechnology,417.30
HALO,Halozyme Therapeutics Inc.,69.6070,8256.30,United States and Canada,Biotechnology,1508.46
ABVX,ABIVAX Société Anonyme,85.1000,7861.37,Europe,Biotechnology,5.69
SYRE,Spyre Therapeutics Inc.,84.0520,7299.18,United States and Canada,Biotechnology,
ALKS,Alkermes plc,43.6820,7280.73,United States and Canada,Biotechnology,1562.30
PRAX,Praxis Precision Medicines Inc.,259.5170,7235.02,United States and Canada,Biotechnology,
PCVX,Vaxcyte Inc.,50.0890,7232.74,United States and Canada,Biotechnology,
KYMR,Kymera Therapeutics Inc.,87.7950,7221.80,United States and Canada,Biotechnology,51.48
TGTX,TG Therapeutics Inc.,50.6340,7176.00,United States and Canada,Biotechnology,700.35
PTGX,Protagonist Therapeutics Inc.,110.3550,7097.08,United States and Canada,Biotechnology,74.06
IBRX,ImmunityBio Inc.,6.7760,7096.87,United States and Canada,Biotechnology,140.98
IMVT,Immunovant Inc.,33.5120,6880.31,United States and Canada,Biotechnology,
GRF,Grifols S.A.,9.0880,6439.69,Europe,Biotechnology,8596.86
APGE,Apogee Therapeutics Inc.,84.8890,6362.26,United States and Canada,Biotechnology,
MIRM,Mirum Pharmaceuticals Inc.,102.0630,6223.93,United States and Canada,Biotechnology,569.61
LEGN,Legend Biotech Corporation,33.3600,6196.28,United States and Canada,Biotechnology,1139.00
RYTM,Rhythm Pharmaceuticals Inc.,90.3150,6189.52,United States and Canada,Biotechnology,217.16
CNTA,Centessa Pharmaceuticals plc,39.7650,6152.80,United States and Canada,Biotechnology,0.00
PTCT,PTC Therapeutics Inc.,73.7830,6120.25,United States and Canada,Biotechnology,827.11
COGT,Cogent Biosciences Inc.,33.4610,5718.88,United States and Canada,Biotechnology,
SRRK,Scholar Rock Holding Corporation,45.3650,5436.01,United States and Canada,Biotechnology,
TWST,Twist Bioscience Corporation,85.3800,5316.72,United States and Canada,Biotechnology,409.48
CGON,CG Oncology Inc.,59.9090,5284.12,United States and Canada,Biotechnology,5.07
CAI,Caris Life Sciences Inc.,18.2560,5160.62,United States and Canada,Biotechnology,907.29
CRSP,CRISPR Therapeutics AG,52.5580,5069.16,United States and Canada,Biotechnology,4.10
XENE,Xenon Pharmaceuticals Inc.,52.3200,5057.54,United States and Canada,Biotechnology,0.00
TVTX,Travere Therapeutics Inc.,53.6550,4989.53,United States and Canada,Biotechnology,536.20
TNGX,Tango Therapeutics Inc.,32.6460,4722.18,United States and Canada,Biotechnology,56.99
CELC,Celcuity Inc.,88.7600,4328.50,United States and Canada,Biotechnology,
DNTH,Dianthus Therapeutics Inc.,79.0570,4321.75,United States and Canada,Biotechnology,1.34
ERAS,Erasca Inc.,13.5600,4216.95,United States and Canada,Biotechnology,
