Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
ABBV,AbbVie Inc.,221.6310,391576.06,United States and Canada,Biotechnology,62819.00
AMGN,Amgen Inc.,348.0340,187836.83,United States and Canada,Biotechnology,37220.00
GILD,Gilead Sciences Inc.,126.3360,156854.97,United States and Canada,Biotechnology,29736.00
VRTX,Vertex Pharmaceuticals Incorporated,452.0710,114738.07,United States and Canada,Biotechnology,12218.00
REGN,Regeneron Pharmaceuticals Inc.,614.2460,62492.79,United States and Canada,Biotechnology,14919.60
ALNY,Alnylam Pharmaceuticals Inc.,282.2300,37681.25,United States and Canada,Biotechnology,4286.92
RVMD,Revolution Medicines Inc.,157.0040,33378.49,United States and Canada,Biotechnology,
NTRA,Natera Inc.,221.2400,31684.97,United States and Canada,Biotechnology,2500.93
ONC,BeOne Medicines AG,264.3240,29385.96,United States and Canada,Biotechnology,5739.19
BIIB,Biogen Inc.,196.0940,28950.75,United States and Canada,Biotechnology,9937.40
UTHR,United Therapeutics Corporation,551.6750,23416.80,United States and Canada,Biotechnology,3169.80
BNTX,BioNTech SE,90.4300,22868.32,United States and Canada,Biotechnology,3242.26
MRNA,Moderna Inc.,56.2930,22336.29,United States and Canada,Biotechnology,2225.00
ROIV,Roivant Sciences Ltd.,30.2450,21754.33,United States and Canada,Biotechnology,8.26
INSM,Insmed Incorporated,95.7500,20754.05,United States and Canada,Biotechnology,819.56
INCY,Incyte Corporation,100.0730,19992.80,United States and Canada,Biotechnology,5361.02
NBIX,Neurocrine Biosciences Inc.,155.8580,15671.52,United States and Canada,Biotechnology,3102.40
ASND,Ascendis Pharma A/S,231.6200,14386.29,United States and Canada,Biotechnology,1000.67
EXEL,Exelixis Inc.,52.3530,13159.19,United States and Canada,Biotechnology,2375.49
BBIO,BridgeBio Pharma Inc.,67.0240,13127.40,United States and Canada,Biotechnology,579.96
IONS,Ionis Pharmaceuticals Inc.,73.1700,12092.26,United States and Canada,Biotechnology,1058.19
MDGL,Madrigal Pharmaceuticals Inc.,503.8960,11617.65,United States and Canada,Biotechnology,1132.49
SMMT,Summit Therapeutics Inc.,14.0040,10869.38,United States and Canada,Biotechnology,
ARWR,Arrowhead Pharmaceuticals Inc.,76.7050,10804.44,United States and Canada,Biotechnology,622.01
BMRN,BioMarin Pharmaceutical Inc.,55.4510,10717.82,United States and Canada,Biotechnology,3242.32
CYTK,Cytokinetics Incorporated,76.6570,10407.77,United States and Canada,Biotechnology,105.81
NUVL,Nuvalent Inc.,123.3350,9743.21,United States and Canada,Biotechnology,
KRYS,Krystal Biotech Inc.,324.0000,9551.44,United States and Canada,Biotechnology,417.30
HALO,Halozyme Therapeutics Inc.,69.5970,8255.11,United States and Canada,Biotechnology,1508.46
SYRE,Spyre Therapeutics Inc.,84.1950,7311.60,United States and Canada,Biotechnology,
ALKS,Alkermes plc,43.7070,7284.90,United States and Canada,Biotechnology,1562.30
PRAX,Praxis Precision Medicines Inc.,259.3770,7231.11,United States and Canada,Biotechnology,
PCVX,Vaxcyte Inc.,50.0700,7229.99,United States and Canada,Biotechnology,
KYMR,Kymera Therapeutics Inc.,87.7950,7221.80,United States and Canada,Biotechnology,51.48
TGTX,TG Therapeutics Inc.,50.6330,7175.86,United States and Canada,Biotechnology,700.35
PTGX,Protagonist Therapeutics Inc.,110.3550,7097.08,United States and Canada,Biotechnology,74.06
IBRX,ImmunityBio Inc.,6.7650,7085.35,United States and Canada,Biotechnology,140.98
IMVT,Immunovant Inc.,33.4690,6871.48,United States and Canada,Biotechnology,
APGE,Apogee Therapeutics Inc.,84.9090,6363.76,United States and Canada,Biotechnology,
MIRM,Mirum Pharmaceuticals Inc.,101.9050,6214.29,United States and Canada,Biotechnology,569.61
LEGN,Legend Biotech Corporation,33.3590,6196.09,United States and Canada,Biotechnology,1139.00
RYTM,Rhythm Pharmaceuticals Inc.,90.3150,6189.52,United States and Canada,Biotechnology,217.16
CNTA,Centessa Pharmaceuticals plc,39.7650,6152.80,United States and Canada,Biotechnology,0.00
PTCT,PTC Therapeutics Inc.,73.7640,6118.67,United States and Canada,Biotechnology,827.11
COGT,Cogent Biosciences Inc.,33.4830,5722.64,United States and Canada,Biotechnology,
SRRK,Scholar Rock Holding Corporation,45.3580,5435.17,United States and Canada,Biotechnology,
TWST,Twist Bioscience Corporation,85.1710,5303.71,United States and Canada,Biotechnology,409.48
CGON,CG Oncology Inc.,59.8570,5279.54,United States and Canada,Biotechnology,5.07
CAI,Caris Life Sciences Inc.,18.2740,5165.71,United States and Canada,Biotechnology,907.29
CRSP,CRISPR Therapeutics AG,52.5290,5066.36,United States and Canada,Biotechnology,4.10
XENE,Xenon Pharmaceuticals Inc.,52.3690,5062.28,United States and Canada,Biotechnology,0.00
TVTX,Travere Therapeutics Inc.,53.6550,4989.53,United States and Canada,Biotechnology,536.20
TNGX,Tango Therapeutics Inc.,32.6460,4722.18,United States and Canada,Biotechnology,56.99
CELC,Celcuity Inc.,88.7600,4328.50,United States and Canada,Biotechnology,
DNTH,Dianthus Therapeutics Inc.,79.1110,4324.70,United States and Canada,Biotechnology,1.34
ERAS,Erasca Inc.,13.5460,4212.60,United States and Canada,Biotechnology,
ORKA,Oruka Therapeutics Inc.,68.0220,4102.55,United States and Canada,Biotechnology,
VCYT,Veracyte Inc.,51.2020,4085.54,United States and Canada,Biotechnology,541.74
KNSA,Kiniksa Pharmaceuticals International plc,51.7850,3984.24,United States and Canada,Biotechnology,754.04
CPRX,Catalyst Pharmaceuticals Inc.,31.3650,3838.48,United States and Canada,Biotechnology,596.96
ACAD,ACADIA Pharmaceuticals Inc.,20.9310,3584.14,United States and Canada,Biotechnology,1095.25
NAMS,NewAmsterdam Pharma Company N.V.,30.3550,3548.62,United States and Canada,Biotechnology,22.57
DNLI,Denali Therapeutics Inc.,22.1620,3517.33,United States and Canada,Biotechnology,
VKTX,Viking Therapeutics Inc.,29.9750,3480.27,United States and Canada,Biotechnology,
RLAY,Relay Therapeutics Inc.,15.0920,3289.16,United States and Canada,Biotechnology,10.68
ARQT,Arcutis Biotherapeutics Inc.,25.6120,3203.64,United States and Canada,Biotechnology,415.62
BEAM,Beam Therapeutics Inc.,31.4600,3131.42,United States and Canada,Biotechnology,164.01
DYN,Dyne Therapeutics Inc.,18.2060,3009.70,United States and Canada,Biotechnology,
RCUS,Arcus Biosciences Inc.,23.6640,2976.30,United States and Canada,Biotechnology,236.00
IDYA,IDEAYA Biosciences Inc.,30.8160,2707.52,United States and Canada,Biotechnology,225.27
IRON,Disc Medicine Inc.,70.0140,2674.47,United States and Canada,Biotechnology,
GRAL,GRAIL Inc.,59.4140,2549.85,United States and Canada,Biotechnology,156.12
CLDX,Celldex Therapeutics Inc.,32.2050,2527.84,United States and Canada,Biotechnology,0.86
RARE,Ultragenyx Pharmaceutical Inc.,25.1120,2465.73,United States and Canada,Biotechnology,670.00
VERA,Vera Therapeutics Inc.,33.8150,2427.34,United States and Canada,Biotechnology,
KLRA,Kailera Therapeutics Inc.,18.6040,2409.91,United States and Canada,Biotechnology,
ETNB,89bio Inc.,14.8400,2308.62,United States and Canada,Biotechnology,
BCRX,BioCryst Pharmaceuticals Inc.,8.9350,2270.94,United States and Canada,Biotechnology,885.72
AUPH,Aurinia Pharmaceuticals Inc.,16.2500,2089.78,United States and Canada,Biotechnology,298.30
KOD,Kodiak Sciences Inc.,33.4250,2087.06,United States and Canada,Biotechnology,
NTLA,Intellia Therapeutics Inc.,14.7150,2056.01,United States and Canada,Biotechnology,66.09
IMNM,Immunome Inc.,18.1160,2051.64,United States and Canada,Biotechnology,4.01
ADMA,ADMA Biologics Inc.,8.7550,2029.17,United States and Canada,Biotechnology,509.86
ZLAB,Zai Lab Limited,17.7910,1998.91,United States and Canada,Biotechnology,453.28
VCEL,Vericel Corporation,38.8950,1986.30,United States and Canada,Biotechnology,292.09
MLYS,Mineralys Therapeutics Inc.,24.0150,1981.19,United States and Canada,Biotechnology,
AGIO,Agios Pharmaceuticals Inc.,32.2370,1917.19,United States and Canada,Biotechnology,66.05
BHVN,Biohaven Ltd.,12.1550,1830.07,United States and Canada,Biotechnology,
STOK,Stoke Therapeutics Inc.,29.2560,1822.11,United States and Canada,Biotechnology,32.08
NRIX,Nurix Therapeutics Inc.,17.4030,1799.57,United States and Canada,Biotechnology,71.78
VRDN,Viridian Therapeutics Inc.,16.0390,1771.15,United States and Canada,Biotechnology,70.92
IOVA,Iovance Biotherapeutics Inc.,3.9350,1756.99,United States and Canada,Biotechnology,285.61
RXRX,Recursion Pharmaceuticals Inc.,3.2850,1743.55,United States and Canada,Biotechnology,66.41
QURE,uniQure N.V.,27.4100,1728.68,United States and Canada,Biotechnology,18.09
ANAB,AnaptysBio Inc.,58.6300,1706.19,United States and Canada,Biotechnology,232.39
PGEN,Precigen Inc.,4.7770,1703.05,United States and Canada,Biotechnology,31.59
TYRA,Tyra Biosciences Inc.,28.4280,1690.62,United States and Canada,Biotechnology,
GENB,Generate Biomedicines Inc.,13.1650,1687.65,United States and Canada,Biotechnology,30.30
SRPT,Sarepta Therapeutics Inc.,15.9210,1680.88,United States and Canada,Biotechnology,2184.18
TSHA,Taysha Gene Therapies Inc.,5.8050,1668.13,United States and Canada,Biotechnology,7.47
ZYME,Zymeworks Inc.,22.4500,1639.37,United States and Canada,Biotechnology,81.26
SNDX,Syndax Pharmaceuticals Inc.,18.4400,1633.97,United States and Canada,Biotechnology,217.17
PVLA,Palvella Therapeutics Inc.,110.9830,1591.81,United States and Canada,Biotechnology,
SION,Sionna Therapeutics Inc.,34.8950,1575.52,United States and Canada,Biotechnology,
CMPS,COMPASS Pathways plc,11.5400,1557.32,United States and Canada,Biotechnology,
NVAX,Novavax Inc.,9.4550,1554.76,United States and Canada,Biotechnology,596.34
URGN,UroGen Pharma Ltd.,31.6540,1542.24,United States and Canada,Biotechnology,140.49
CAPR,Capricor Therapeutics Inc.,26.1400,1513.82,United States and Canada,Biotechnology,
GLUE,Monte Rosa Therapeutics Inc.,17.7890,1502.80,United States and Canada,Biotechnology,42.95
VIR,Vir Biotechnology Inc.,8.6450,1458.00,United States and Canada,Biotechnology,65.50
BCAX,Bicara Therapeutics Inc.,22.0930,1451.60,United States and Canada,Biotechnology,
IMCR,Immunocore Holdings plc,28.2200,1435.43,United States and Canada,Biotechnology,412.81
ARDX,Ardelyx Inc.,5.7650,1424.12,United States and Canada,Biotechnology,427.68
MLTX,MoonLake Immunotherapeutics,19.2660,1418.27,United States and Canada,Biotechnology,
